const,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Region_Asia,Region_Central America and Caribbean,Region_European Union,Region_Middle East,Region_North America,Region_Oceania,Region_Rest of Europe,Region_South America
1.0,0.625,1.825864276568502,2.2307692307692313,1.1174715065331737,-0.6061068702290076,-2.6857142857142855,-0.6551724137931034,-0.8437500000000011,-2.875,-3.1875,-0.07267569719568504,-1.1638661289940666,0.22939935133951223,0.625,0.6071428571428572,-1.0754716981132073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.125,1.6952624839948787,2.060822898032201,0.9521905558357098,-0.07480916030534354,-0.34285714285714286,-0.6551724137931034,-0.9062500000000009,-1.1875,-1.375,34.870018963224524,-0.922163597862256,-0.633071406323905,1.0000000000000002,0.9821428571428573,-1.0377358490566035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.8937259923175418,0.7638640429338104,0.6214312504822936,-0.5572519083969466,-0.2857142857142857,-0.034482758620689655,-0.5000000000000006,-0.5625,-0.5625,0.15205871301156834,-0.2125657575669848,-0.7413863732297463,0.4107142857142857,0.3750000000000001,-0.6981132075471698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.25,-0.28425096030729835,-0.22540250447227198,0.4016919313823839,0.9083969465648853,0.5714285714285714,0.5517241379310345,0.09374999999999913,0.375,0.375,-0.024467884428875892,0.4180983872127109,-0.4811957517411737,-0.14285714285714282,-0.14285714285714282,0.811320754716981,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.375,1.4596670934699105,1.9177101967799648,0.8660973057948831,-0.5145038167938931,-0.9714285714285714,-0.6551724137931034,-0.9375000000000002,-1.0,-1.25,1.0655755660573265,-0.8014067241711406,0.30662604746670297,0.9821428571428573,0.9285714285714287,-1.0943396226415092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.875,3.032010243277849,3.6100178890876573,2.6283152648891934,-0.033587786259542014,-1.0285714285714285,-0.7931034482758621,-1.1250000000000007,-2.9375,-3.0625,7.816557281707278,-1.074039696031186,-0.2135483594315489,-0.35714285714285715,-0.3392857142857143,-1.0377358490566035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.375,-0.16901408450704225,-0.14132379248658325,-0.5763477755265752,-0.32061068702290074,-0.8,-2.0344827586206895,0.3437499999999994,-1.1875,-1.125,-0.29976854983083356,0.20972603897931222,-0.2144314931621298,0.25000000000000006,0.23214285714285712,-0.05660377358490562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,-0.875,0.2612035851472471,0.2432915921288015,-0.375343886668593,-0.14656488549618324,-1.6571428571428573,0.20689655172413793,-1.000000000000001,-0.4375,-0.5,-0.1432035029367609,-0.2994660022036742,2.456237717712924,0.4642857142857144,0.3214285714285714,-0.24528301886792447,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.875,-0.4379001280409731,-0.3542039355992845,-0.30133534805009765,2.0335877862595417,0.22857142857142856,0.3448275862068966,0.21874999999999983,0.0,0.0,-0.18906019293137094,0.6399773501354651,-0.6477694208668372,-0.25,-0.25,0.9056603773584904,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.25,1.495518565941101,1.867620751341682,1.5916788847753096,0.1419847328244275,-0.5714285714285714,-0.6551724137931034,-0.6250000000000001,-0.875,-0.8125,30.64886496411102,-0.5686301985760387,0.38265311057959017,0.642857142857143,0.6607142857142858,-0.5094339622641509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.125,0.21766965428937263,0.1985688729874777,0.02624754815310647,-0.5801526717557252,0.5142857142857142,-0.6551724137931034,0.84375,0.3125,0.3125,-0.07267569719568504,-0.1607754080577532,1.0842052583503057,-0.017857142857142794,-0.03571428571428567,-0.3773584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5,0.023047375160051273,0.023255813953488323,0.429938643260539,0.40916030534351144,0.5714285714285714,0.5172413793103449,0.0,0.375,0.375,-0.32125368735212184,-0.15208134888462177,-0.40660436990383875,-0.19642857142857137,-0.17857142857142858,0.3773584905660379,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,-0.5,-0.37900128040973113,-0.30411449016100184,-0.6660373667747604,-0.21221374045801528,0.5142857142857142,0.4827586206896552,0.24999999999999917,0.0,0.0,-0.18906019293137094,0.8543218935851813,-0.05563694268337063,-0.39285714285714285,-0.39285714285714285,0.8301886792452828,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.75,-0.29193341869398204,-0.2397137745974956,-0.41102016571165034,0.37404580152671746,0.2857142857142857,0.3103448275862069,0.43749999999999967,0.0625,0.0625,0.258619786231063,0.5851938060943146,-0.33164247043441186,-0.3214285714285714,-0.3392857142857143,0.13207547169811323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
